Customer ID,Purchase Date,Drone Model,Price,Payment Method,Warranty,Usage Frequency,Purpose of Use,Customer Satisfaction,Customer Feedback
CUST001,2023-03-08,Skydio 2,2158.16,Debit Card,1 Year,Monthly,Professional Use,5,The Skydio 2 is excellent and exceeded my expectations. It's fantastic for Professional Use.
CUST002,2023-08-06,Parrot Anafi USA,1213.72,Credit Card,2 Years,Daily,Professional Use,4,"For the price of 1213.72, the Parrot Anafi USA offers impressive performance. It's fantastic for Professional Use."
CUST003,2023-02-19,DJI Mini 2,1175.52,Cash,2 Years,Daily,Aerial Photography,2,I'm truly impressed with the DJI Mini 2. It's reliable and amazing for Aerial Photography.
CUST004,2023-05-11,Parrot Anafi USA,1772.46,PayPal,No Warranty,Weekly,Aerial Photography,3,I couldn't be happier with the Parrot Anafi USA. It's satisfying and amazing for Aerial Photography.
CUST005,2023-05-23,DJI Air 2S,1276.78,Credit Card,1 Year,Monthly,Aerial Photography,4,The DJI Air 2S is impressive and exceeded my expectations. It's terrific for Aerial Photography.
CUST006,2022-11-16,Autel EVO Lite+,1962.4,Credit Card,No Warranty,Weekly,Recreation,5,The Autel EVO Lite+ is impressive and exceeded my expectations. It's amazing for Recreation.
CUST007,2023-05-06,Skydio X2,1063.88,PayPal,2 Years,Daily,Professional Use,4,The Skydio X2 is reliable and exceeded my expectations. It's perfect for Professional Use.
CUST008,2022-12-31,Autel EVO Nano+,1796.46,Credit Card,No Warranty,Weekly,Aerial Photography,5,The Autel EVO Nano+ is satisfying and exceeded my expectations. It's fantastic for Aerial Photography.
CUST009,2023-01-16,Skydio X2,1137.24,Credit Card,1 Year,Daily,Recreation,4,The Skydio X2 is excellent and exceeded my expectations. It's amazing for Recreation.
CUST010,2022-10-06,Skydio 2,1212.18,Cash,No Warranty,Weekly,Recreation,1,I couldn't be happier with the Skydio 2. It's reliable and amazing for Recreation.
CUST011,2023-03-04,DJI Mavic Air 2,2216.58,Cash,2 Years,Weekly,Professional Use,5,"For the price of 2216.58, the DJI Mavic Air 2 offers outstanding performance. It's fantastic for Professional Use."
CUST012,2023-05-17,Autel EVO Nano+,2424.7,Credit Card,2 Years,Daily,Recreation,1,The Autel EVO Nano+ is reliable and exceeded my expectations. It's amazing for Recreation.
CUST013,2023-01-25,Yuneec Typhoon H,1045.02,Credit Card,2 Years,Daily,Aerial Photography,3,I'm truly impressed with the Yuneec Typhoon H. It's satisfying and terrific for Aerial Photography.
CUST014,2022-11-17,Yuneec Typhoon H,2265.36,Cash,1 Year,Daily,Aerial Photography,4,I'm truly impressed with the Yuneec Typhoon H. It's impressive and fantastic for Aerial Photography.
CUST015,2023-07-18,DJI Mini 2,1751.89,PayPal,No Warranty,Daily,Recreation,4,"For the price of 1751.89, the DJI Mini 2 offers reliable performance. It's terrific for Recreation."
CUST016,2023-07-21,Yuneec Typhoon H,546.17,Credit Card,2 Years,Weekly,Professional Use,4,The Yuneec Typhoon H is excellent and exceeded my expectations. It's terrific for Professional Use.
CUST017,2023-04-20,Parrot Anafi USA,1946.07,Cash,No Warranty,Monthly,Aerial Photography,4,The Parrot Anafi USA is excellent and exceeded my expectations. It's terrific for Aerial Photography.
CUST018,2023-08-12,Autel EVO 2 Pro,1890.48,Cash,1 Year,Weekly,Professional Use,5,I purchased the Autel EVO 2 Pro and it has been an reliable experience. It's perfect for Professional Use.
CUST019,2023-07-06,Skydio 2,2031.0,Debit Card,No Warranty,Weekly,Professional Use,4,I couldn't be happier with the Skydio 2. It's reliable and fantastic for Professional Use.
CUST020,2023-04-12,DJI Mavic Air 2,1358.72,Debit Card,No Warranty,Daily,Professional Use,4,I couldn't be happier with the DJI Mavic Air 2. It's excellent and perfect for Professional Use.
CUST021,2023-03-15,Skydio 2,2343.89,Credit Card,No Warranty,Monthly,Professional Use,5,I'm truly impressed with the Skydio 2. It's excellent and perfect for Professional Use.
CUST022,2023-05-13,Autel EVO Lite+,2128.22,Credit Card,2 Years,Weekly,Professional Use,4,The Autel EVO Lite+ is reliable and exceeded my expectations. It's fantastic for Professional Use.
CUST023,2023-04-24,DJI Mavic Air 2,2020.74,Cash,No Warranty,Weekly,Professional Use,5,"For the price of 2020.74, the DJI Mavic Air 2 offers reliable performance. It's perfect for Professional Use."
CUST024,2023-07-21,Autel EVO Lite+,2382.37,Debit Card,2 Years,Daily,Aerial Photography,4,I purchased the Autel EVO Lite+ and it has been an reliable experience. It's perfect for Aerial Photography.
CUST025,2023-07-05,Skydio 2,1703.51,Cash,No Warranty,Monthly,Professional Use,4,I'm truly impressed with the Skydio 2. It's impressive and exceptional for Professional Use.
CUST026,2023-02-03,Parrot Anafi USA,907.24,Credit Card,1 Year,Weekly,Recreation,4,I purchased the Parrot Anafi USA and it has been an excellent experience. It's perfect for Recreation.
CUST027,2023-01-16,DJI Mini 2,2048.91,Cash,1 Year,Daily,Recreation,4,I'm truly impressed with the DJI Mini 2. It's reliable and exceptional for Recreation.
CUST028,2023-06-09,Autel EVO Nano+,1125.23,Credit Card,2 Years,Weekly,Aerial Photography,5,I couldn't be happier with the Autel EVO Nano+. It's excellent and perfect for Aerial Photography.
CUST029,2023-04-15,Autel EVO 2 Pro,1007.6,Credit Card,1 Year,Daily,Professional Use,4,I couldn't be happier with the Autel EVO 2 Pro. It's excellent and amazing for Professional Use.
CUST030,2023-08-31,DJI Air 2S,1559.14,Credit Card,1 Year,Weekly,Aerial Photography,5,"For the price of 1559.14, the DJI Air 2S offers outstanding performance. It's amazing for Aerial Photography."
CUST031,2022-11-07,Skydio 2,2019.17,PayPal,1 Year,Weekly,Aerial Photography,4,"For the price of 2019.17, the Skydio 2 offers satisfying performance. It's exceptional for Aerial Photography."
CUST032,2023-04-09,Autel EVO Lite+,2094.87,Cash,2 Years,Weekly,Professional Use,5,I purchased the Autel EVO Lite+ and it has been an excellent experience. It's perfect for Professional Use.
CUST033,2023-05-29,DJI Mini 2,1346.83,Cash,1 Year,Daily,Recreation,3,I'm truly impressed with the DJI Mini 2. It's satisfying and exceptional for Recreation.
CUST034,2023-07-22,Skydio X2,1943.62,Credit Card,2 Years,Weekly,Aerial Photography,4,"For the price of 1943.62, the Skydio X2 offers excellent performance. It's terrific for Aerial Photography."
CUST035,2023-06-23,DJI Mini 2,1930.09,PayPal,1 Year,Weekly,Professional Use,5,The DJI Mini 2 is satisfying and exceeded my expectations. It's perfect for Professional Use.
CUST036,2022-10-07,Parrot Anafi USA,2476.05,PayPal,1 Year,Monthly,Professional Use,4,I purchased the Parrot Anafi USA and it has been an impressive experience. It's perfect for Professional Use.
CUST037,2023-08-24,Autel EVO Nano+,342.68,Credit Card,2 Years,Monthly,Recreation,5,"For the price of 342.68, the Autel EVO Nano+ offers outstanding performance. It's perfect for Recreation."
CUST038,2022-11-05,Yuneec Typhoon H,896.64,Credit Card,2 Years,Weekly,Professional Use,5,"For the price of 896.64, the Yuneec Typhoon H offers satisfying performance. It's perfect for Professional Use."
CUST039,2022-11-07,Autel EVO Nano+,1844.24,Debit Card,1 Year,Monthly,Aerial Photography,4,The Autel EVO Nano+ is impressive and exceeded my expectations. It's exceptional for Aerial Photography.
CUST040,2023-01-17,DJI Mavic Air 2,2157.05,Cash,2 Years,Weekly,Aerial Photography,4,I'm truly impressed with the DJI Mavic Air 2. It's outstanding and fantastic for Aerial Photography.
CUST041,2023-09-01,Skydio X2,1542.6,Cash,1 Year,Monthly,Recreation,4,I'm truly impressed with the Skydio X2. It's satisfying and fantastic for Recreation.
CUST042,2023-06-30,Autel EVO Lite+,738.74,PayPal,1 Year,Weekly,Recreation,5,I'm truly impressed with the Autel EVO Lite+. It's outstanding and exceptional for Recreation.
CUST043,2022-11-13,Yuneec Typhoon H,1488.93,PayPal,No Warranty,Weekly,Aerial Photography,4,I purchased the Yuneec Typhoon H and it has been an excellent experience. It's perfect for Aerial Photography.
CUST044,2023-06-03,Yuneec Typhoon H,1501.0,Cash,2 Years,Daily,Recreation,5,I purchased the Yuneec Typhoon H and it has been an excellent experience. It's perfect for Recreation.
